id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href,Thời gian ghi nhận,Gia_Thuc_Te_Trieu,Gia_AI_Du_Doan_Trieu,Co_Bat_Thuong,Ly_Do_Chi_Tiet
12,SH Ý Zin,100.000.000 đ,23.67 tr,27.79 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Ai có nhu cầu mua xe liên hệ sdt.
Xem xe trực tiếp quận 1,hcm",Honda,SH,2005,8000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124960442.htm,2025-11-28 12:11:09,100.0,54.223774,1,Giá CAO bất thường. AI dự đoán: 54.22 tr. (Cao hơn 84%)
17,Bán xe ab đầu bò đen nhám,11.000.000 đ,36.71 tr,43.1 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Dư xe .cần bán .có fix .mọi chức năng hoạt động bình thường. Khung sườn keng nội thất ko hoen rỉ mục nát .đinh tán còn sơn phết. Có chống trộm .chỉ có dàn áo trầy nhẹ theo năm tháng .miễn trung gian. Xe biển TP .mua bán công chứng giữa người mua bán giao cà vẹt,Honda,Air Blade,2023,70000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124836276.htm,2025-11-28 12:11:09,11.0,25.931364,1,Giá RẺ bất thường. AI dự đoán: 25.93 tr. (Thấp hơn 58%)
18,bán cup125 xe như mới đầy đủ phụ kiện theo xe mới,83.000.000 đ,42.75 tr,50.19 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125",Honda,Cub,2022,8600,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124834252.htm,2025-11-28 12:11:09,83.0,49.370117,1,Giá CAO bất thường. AI dự đoán: 49.37 tr. (Cao hơn 68%)
24,Do đổi xe cần sang xe,15.000.000 đ,7.94 tr,9.32 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Bán xe wave RSX fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,Honda,Wave,2014,6000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124718551.htm,2025-11-28 12:11:09,15.0,7.5410633,1,Giá CAO bất thường. AI dự đoán: 7.54 tr. (Cao hơn 99%)
26,Không có nhu cầu chạy xe nhượng lại cho anh em cân,350.000.000 đ,322 tr,378 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Xe Ít đi, anh em xem xe thì nhắn tin cho tôi trước.
Xem xe ở Vinhomes Central Park (Bình Thạnh, HCM)",KTM,1290 Super Duke R,2014,13000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124493960.htm,2025-11-28 12:11:09,350.0,21.039324,1,Giá CAO bất thường. AI dự đoán: 21.04 tr. (Cao hơn 1564%)
36,"Cần bán xe Sh 150i VN, thắng cbs màu đen nhám",70.000.000 đ,65.71 tr,77.13 tr,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh","Xe nhà đi kỹ, có trầy theo năm tháng. Xe chính chủ ( ko phải cửa hàng mua bán hay trung gian)
Mẫu 2019, đăng ký t1.2020, chiếc cuối cùng ở Sg, xe màu đen nhám. Máy móc chưa bung. Xe vừa thay ngớt, dây coro, bình, nước mát.
Xem xe tại quận 7.
Ko bán cho Ac cửa hàng hay mô giới. Xe chính chủ đăng ký .",Honda,SH,2020,52000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124102728.htm,2025-11-28 12:11:09,70.0,38.403263,1,Giá CAO bất thường. AI dự đoán: 38.40 tr. (Cao hơn 82%)
39,CHÍNH CHỦ BÁN XE CHÍNH HANG XE PHÁP,49.000.000 đ,33.12 tr,38.88 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","- Hãng xe Pháp nổi tiếng hình Sư tử (PeuGeot)
- Xe đăng ký năm 2021 (2022 và 2023 dính Covid nên xe chạy rất ít) và Nữ chạy cẩn thânh nên còn rất mới, máy móc zin
- Thời gian sử dụng thực tế chưa tới 2 năm
- Giấy tờ Chính Chủ",Peugeot,Django,2021,1363,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/122246811.htm,2025-11-28 12:11:09,49.0,22.626429,1,Giá CAO bất thường. AI dự đoán: 22.63 tr. (Cao hơn 117%)
40,Click Thái 125 Trắng 2015,64.999.999 đ,43.42 tr,50.97 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe gốc Phú Nhuận, chủ chạy kỹ, ngoại hình đẹp tưng, máy móc chưa chỉnh sửa.
ODO 25k km, ko tua.
Máy móc, phanh nhớt đã được kiểm tra, vệ sinh, bảo dưỡng.

Bao công chứng, giấy tờ hợp lệ
—-
Liên hệ: a Nhựt (Nguyễn Cư Trinh)
SDT: ***",Honda,Click,2015,25000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123981168.htm,2025-11-28 12:11:09,64.999999,24.931479,1,Giá CAO bất thường. AI dự đoán: 24.93 tr. (Cao hơn 161%)
45,Airblade 2020 62+2,45.000.000 đ,29.93 tr,35.13 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Airblade 150 2020 62+2 cần bán :

Full máy 62+2 :

Dên lightspeed

Lòng redleo 62

Full Aracer Mini 5 + Af2 Sensor 4.9 Autotune cực nhạy

Pô zin móc

Lọc gió DNA

Nồi canh theo bài

Đầu zin làm lên

Cam BRT

Họng Gió BRT

Co gió Intake

Kim phun BRT

Pô arka g310

Mâm rcb sơn màu vàng cát

Bộ mạch tăng sáng, demi đổi màu, auto passing chỉnh trên app đt

Yên xe tấn tài

Cặp vỏ michelin gp mới thay

Máy móc hoạt động hoàn hảo do mới bảo trì

Bs tp dễ nhìn


Dá ra đi 4x , x có như không nếu nhiệt tình

Xe công chứng 1 nốt nhạc do ngay chủ đầu tiên

Ae có nhu cầu xin liên hệ",Honda,Air Blade,2020,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123810022.htm,2025-11-28 12:11:09,45.0,25.61001,1,Giá CAO bất thường. AI dự đoán: 25.61 tr. (Cao hơn 76%)
52,Bán xe cb500x,120.000.000 đ,13.7 tr,16.08 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Honda cb500x 2020 

- xe dàn ngoài đẹp keng, ốc tán zin keng , đồ zin theo xe 

Xe lên đồ chơi: đồ zin còn pô zin và phuộc zin

+ trợ lực YSS
+ phuộc sau YSS
+ chống đổ khung 
+ Thùng nhôm sau 
+ Baga sau 
+ Cặp đèn trợ sáng 
+ cặp đèn ( trong hình k có)
+ Kinh gió
+ Lọc gió K&N

- xe máy móc bảo dưỡng đầy đủ , chuẩn zin, mạnh êm 
- vừa bảo dưỡng thay nhớt và thay nước mát

- xe bs tỉnh Tp Bà rịa , sang tên thuế 1% , chinh chủ ủy quyền hay mua bán sang tên nhanh chóng

Giá : 120 triệu",Honda,Dòng khác,2020,2,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123761630.htm,2025-11-28 12:11:09,120.0,70.06352,1,Giá CAO bất thường. AI dự đoán: 70.06 tr. (Cao hơn 71%)
